id,side,time,price,qty,pnl,pnlPct,reason
t_1,buy,2026-05-10T15:00:00.000Z,94.53,42.314609118798266,,,SAR+MACD 开多 · SAR 92.91
t_2,sell,2026-05-10T16:00:00.000Z,94.82,42.314609118798266,12.271236644451161,0.306780916111279,触及近期高点 95.00 止盈50%
t_3,buy,2026-05-10T18:00:00.000Z,96.43,41.53176910357544,,,SAR+MACD 开多 · SAR 93.24
t_4,sell,2026-05-10T20:00:00.000Z,94.53,41.53176910357544,-78.91036129679358,-1.9703411801306705,跌破SAR 96.90
t_5,buy,2026-05-10T23:00:00.000Z,96.44,41.200169536904426,,,SAR+MACD 开多 · SAR 93.43
t_6,sell,2026-05-11T14:00:00.000Z,95.18,41.200169536904426,-51.9122136164992,-1.3065118208212265,跌破SAR 96.86
t_7,buy,2026-05-11T16:00:00.000Z,97.33,40.61008388669951,,,SAR+MACD 开多 · SAR 94.32
t_8,sell,2026-05-11T19:00:00.000Z,98.2,40.61008388669951,35.33077298142876,0.8938662282954942,触及近期高点 98.38 止盈50%
t_9,buy,2026-05-11T20:00:00.000Z,97.65,40.62172835519749,,,SAR+MACD 开多 · SAR 94.84
t_10,sell,2026-05-12T01:00:00.000Z,96.29,40.62172835519749,-55.24555056306856,-1.3927291346646178,跌破SAR 98.38
t_11,buy,2026-05-13T02:00:00.000Z,95.24,41.41761396114875,,,SAR+MACD 开多 · SAR 93.76
t_12,sell,2026-05-13T10:00:00.000Z,94.81,41.41761396114875,-17.80957400329366,-0.4514909701805887,跌破SAR 95.99
t_13,buy,2026-05-14T05:00:00.000Z,91.29,43.13166528709048,,,SAR+MACD 开多 · SAR 89.80
t_14,sell,2026-05-14T14:00:00.000Z,92.28,43.13166528709048,42.70034863421935,1.0844561288202375,触及近期高点 92.33 止盈50%
t_15,buy,2026-05-14T16:00:00.000Z,93.32,42.37644517265514,,,SAR+MACD 开多 · SAR 90.63
t_16,sell,2026-05-14T23:00:00.000Z,92.15,42.37644517265514,-49.580440852005985,-1.253750535790814,跌破SAR 93.67
t_17,buy,2026-05-16T02:00:00.000Z,89.2,44.11140904900645,,,SAR+MACD 开多 · SAR 88.76
t_18,sell,2026-05-16T04:00:00.000Z,88.86,44.11140904900645,-14.997879076662342,-0.38116591928251503,跌破SAR 90.09
t_19,buy,2026-05-17T01:00:00.000Z,85.76,45.81085046106239,,,SAR+MACD 开多 · SAR 85.56
t_20,sell,2026-05-17T14:00:00.000Z,86.32,45.81085046106239,25.65407625819439,0.6529850746268517,跌破SAR 87.30
t_21,buy,2026-05-18T12:00:00.000Z,85.57,46.03248996194915,,,SAR+MACD 开多 · SAR 83.46
t_22,sell,2026-05-18T18:00:00.000Z,83.53,46.03248996194915,-93.90627952237591,-2.3840130886993016,跌破SAR 85.79
t_23,buy,2026-05-19T08:00:00.000Z,85.24,45.770033484690735,,,SAR+MACD 开多 · SAR 84.57
t_24,sell,2026-05-19T09:00:00.000Z,84.77,45.770033484690735,-21.511915737804593,-0.5513843266072254,跌破SAR 85.96
t_25,buy,2026-05-20T05:00:00.000Z,84.77,45.92229430152078,,,SAR+MACD 开多 · SAR 83.70
t_26,sell,2026-05-20T06:00:00.000Z,84.98,45.92229430152078,9.64368180331973,0.2477291494632629,触及近期高点 85.10 止盈50%
t_27,buy,2026-05-20T08:00:00.000Z,84.98,45.85420523253994,,,SAR+MACD 开多 · SAR 83.86
t_28,sell,2026-05-20T13:00:00.000Z,84.69,45.85420523253994,-13.29771951743687,-0.3412567662979598,跌破SAR 85.35
t_29,buy,2026-05-20T14:00:00.000Z,85.88,45.31172884087412,,,SAR+MACD 开多 · SAR 84.18
t_30,sell,2026-05-21T06:00:00.000Z,86.32,45.31172884087412,19.93716068998451,0.5123428039124334,跌破SAR 87.20
t_31,buy,2026-05-21T17:00:00.000Z,87.59,44.51816573958515,,,SAR+MACD 开多 · SAR 85.38
t_32,sell,2026-05-22T14:00:00.000Z,86.62,44.51816573958515,-43.182620767397545,-1.1074323552916987,跌破SAR 88.00
t_33,buy,2026-05-23T17:00:00.000Z,84.22,46.094432306142295,,,SAR+MACD 开多 · SAR 81.79
t_34,sell,2026-05-23T20:00:00.000Z,87.07,46.094432306142295,131.36913207250527,3.383994300641171,触及近期高点 87.08 止盈50%
t_35,buy,2026-05-23T21:00:00.000Z,86.27,45.60821538950164,,,SAR+MACD 开多 · SAR 82.66
t_36,sell,2026-05-24T12:00:00.000Z,86.34,45.60821538950164,3.1925750772654515,0.08114060507709214,跌破SAR 87.50
t_37,buy,2026-05-25T16:00:00.000Z,86.27,45.62301810227439,,,SAR+MACD 开多 · SAR 85.31
t_38,sell,2026-05-25T19:00:00.000Z,85.63,45.62301810227439,-29.198731585455636,-0.7418569607047648,跌破SAR 86.53
t_39,buy,2026-05-26T11:00:00.000Z,85.22,46.04809057790459,,,SAR+MACD 开多 · SAR 83.95
t_40,sell,2026-05-26T15:00:00.000Z,84.49,46.04809057790459,-33.61510612187053,-0.8566064304154001,跌破SAR 86.14
t_41,buy,2026-05-27T08:00:00.000Z,83.94,46.590090976891595,,,SAR+MACD 开多 · SAR 82.83
t_42,sell,2026-05-27T13:00:00.000Z,83.63,46.590090976891595,-14.4429282028365,-0.3693114129139889,跌破SAR 84.68
t_43,buy,2026-05-27T15:00:00.000Z,84.43,46.25127401775608,,,SAR+MACD 开多 · SAR 82.99
t_44,sell,2026-05-27T21:00:00.000Z,82.48,46.25127401775608,-90.18998433462448,-2.3096055904299453,跌破SAR 84.82
t_45,buy,2026-05-28T16:00:00.000Z,82.06,47.14744176925782,,,SAR+MACD 开多 · SAR 80.00
t_46,sell,2026-05-28T18:00:00.000Z,82.89,47.14744176925782,39.13237666848391,1.011455032902752,触及近期高点 83.00 止盈50%
t_47,buy,2026-05-29T15:00:00.000Z,82.57,47.04580383011615,,,SAR+MACD 开多 · SAR 80.36
t_48,sell,2026-05-30T17:00:00.000Z,83.05,47.04580383011615,22.58198583845594,0.58132493641759,触及近期高点 83.09 止盈50%
t_49,buy,2026-05-31T01:00:00.000Z,83.02,46.89960029617047,,,SAR+MACD 开多 · SAR 81.75
t_50,sell,2026-05-31T14:00:00.000Z,81.97,46.89960029617047,-49.24458031097886,-1.2647554806070793,跌破SAR 83.40
t_51,buy,2026-06-01T00:00:00.000Z,82.82,46.77501792397586,,,SAR+MACD 开多 · SAR 81.37
t_52,sell,2026-06-01T05:00:00.000Z,81.81,46.77501792397586,-47.24276810321519,-1.2195121951219403,跌破SAR 83.11
t_53,buy,2026-06-07T02:00:00.000Z,63.55,60.66105235597789,,,SAR+MACD 开多 · SAR 60.32
t_54,sell,2026-06-07T04:00:00.000Z,64.1,60.66105235597789,33.36357879578767,0.8654602675058964,触及近期高点 64.18 止盈50%
t_55,buy,2026-06-07T05:00:00.000Z,64.25,60.20786472748187,,,SAR+MACD 开多 · SAR 60.89
t_56,sell,2026-06-07T07:00:00.000Z,64.93,60.20786472748187,40.94134801468808,1.0583657587548745,触及近期高点 65.02 止盈50%
t_57,buy,2026-06-07T09:00:00.000Z,65.02,59.746721746333215,,,SAR+MACD 开多 · SAR 62.54
t_58,sell,2026-06-07T12:00:00.000Z,64.33,59.746721746333215,-41.22523800496978,-1.0612119347892923,跌破SAR 66.11
t_59,buy,2026-06-07T22:00:00.000Z,65.83,58.76107781778213,,,SAR+MACD 开多 · SAR 63.65
t_60,sell,2026-06-09T00:00:00.000Z,65.43,58.76107781778213,-23.50443112711235,-0.6076257025672056,跌破SAR 68.18
t_61,buy,2026-06-10T13:00:00.000Z,65.08,59.29379195288496,,,SAR+MACD 开多 · SAR 62.95
t_62,sell,2026-06-10T18:00:00.000Z,63.84,59.29379195288496,-73.52430202157704,-1.9053472649047247,跌破SAR 65.77
t_63,buy,2026-06-11T12:00:00.000Z,65.27,58.67060302566451,,,SAR+MACD 开多 · SAR 63.90
t_64,sell,2026-06-11T17:00:00.000Z,67.16,58.67060302566451,110.88743971850596,2.8956641642408467,触及近期高点 67.18 止盈50%
t_65,buy,2026-06-11T18:00:00.000Z,66.81,57.98211697908284,,,SAR+MACD 开多 · SAR 65.05
t_66,sell,2026-06-12T01:00:00.000Z,66.69,57.98211697908284,-6.957854037490204,-0.1796138302649372,跌破SAR 67.39
t_67,buy,2026-06-12T16:00:00.000Z,68.01,56.918131065395215,,,SAR+MACD 开多 · SAR 66.33
t_68,sell,2026-06-12T19:00:00.000Z,66.79,56.918131065395215,-69.4401198997821,-1.793853845022789,跌破SAR 68.83
t_69,buy,2026-06-13T09:00:00.000Z,67.37,57.04654958880238,,,SAR+MACD 开多 · SAR 66.53
t_70,sell,2026-06-13T15:00:00.000Z,68.6,57.04654958880238,70.16725599422634,1.825738459254846,触及近期高点 68.71 止盈50%
t_71,buy,2026-06-13T16:00:00.000Z,68.1,56.84717985602507,,,SAR+MACD 开多 · SAR 67.48
t_72,sell,2026-06-14T01:00:00.000Z,68.82,56.84717985602507,40.92996949633799,1.0572687224669588,跌破SAR 69.56
t_73,buy,2026-06-14T21:00:00.000Z,70.16,55.41141584939912,,,SAR+MACD 开多 · SAR 67.01
t_74,sell,2026-06-14T23:00:00.000Z,71.28,55.41141584939912,62.060785751327266,1.5963511972634046,触及近期高点 71.28 止盈50%
t_75,buy,2026-06-15T00:00:00.000Z,71.13,55.00476944038202,,,SAR+MACD 开多 · SAR 67.88
t_76,sell,2026-06-15T15:00:00.000Z,75.26,55.00476944038202,227.16969778877828,5.806270209475621,止盈
t_77,buy,2026-06-15T16:00:00.000Z,75.46,53.052705133976744,,,SAR+MACD 开多 · SAR 73.03
t_78,sell,2026-06-15T21:00:00.000Z,74.45,53.052705133976744,-53.58323218531603,-1.3384574609064286,跌破SAR 76.08
t_79,buy,2026-06-17T16:00:00.000Z,73.77,53.97754963448229,,,SAR+MACD 开多 · SAR 71.65
t_80,sell,2026-06-17T19:00:00.000Z,71.66,53.97754963448229,-113.8926297287576,-2.8602412904974917,止损
