id,side,time,price,qty,pnl,pnlPct,reason
t_1,buy,2026-05-08T17:00:00.000Z,91.65,43.644298963447895,,,突破MA20 & 量比3.03
t_2,sell,2026-05-10T17:00:00.000Z,96.5,43.644298963447895,211.67484997272203,5.291871249318051,止盈
t_3,buy,2026-05-10T17:00:00.000Z,96.5,42.328185906622686,,,突破MA20 & 量比3.14
t_4,sell,2026-05-10T20:00:00.000Z,94.53,42.328185906622686,-83.38652623604665,-2.0414507772020714,止损
t_5,buy,2026-05-10T20:00:00.000Z,94.53,42.85745614614059,,,突破MA20 & 量比2.73
t_6,sell,2026-05-11T08:00:00.000Z,94.79,42.85745614614059,11.142938597996773,0.27504495927219413,跌破MA20
t_7,buy,2026-05-11T16:00:00.000Z,97.33,41.67032266448032,,,突破MA20 & 量比2.05
t_8,sell,2026-05-12T07:00:00.000Z,96.03,41.67032266448032,-54.17141946382429,-1.3356621802116482,跌破MA20
t_9,buy,2026-05-14T14:00:00.000Z,92.28,43.71590742466774,,,突破MA20 & 量比1.68
t_10,sell,2026-05-15T04:00:00.000Z,91.28,43.71590742466774,-43.71590742466774,-1.083658430862592,跌破MA20
t_11,buy,2026-05-17T10:00:00.000Z,87,46.168018094005426,,,突破MA20 & 量比1.51
t_12,sell,2026-05-17T23:00:00.000Z,85.24,46.168018094005426,-81.25571184544978,-2.0229885057471324,止损
t_13,buy,2026-05-18T12:00:00.000Z,85.57,46.559720573101465,,,突破MA20 & 量比1.68
t_14,sell,2026-05-18T13:00:00.000Z,84.69,46.559720573101465,-40.97255410432908,-1.0283978029683247,跌破MA20
t_15,buy,2026-05-20T13:00:00.000Z,84.69,46.84999725821893,,,突破MA20 & 量比2.09
t_16,sell,2026-05-21T10:00:00.000Z,85.76,46.84999725821893,50.1294970662946,1.2634313378202946,跌破MA20
t_17,buy,2026-05-21T15:00:00.000Z,86.45,46.12814420618946,,,突破MA20 & 量比2.08
t_18,sell,2026-05-22T14:00:00.000Z,86.62,46.12814420618946,7.841784515052287,0.19664545980335651,跌破MA20
t_19,buy,2026-05-23T15:00:00.000Z,84.1,47.45439691356837,,,突破MA20 & 量比1.77
t_20,sell,2026-05-24T14:00:00.000Z,85.25,47.45439691356837,54.57255645060389,1.3674197384066655,跌破MA20
t_21,buy,2026-05-26T14:00:00.000Z,85.23,47.081354018671135,,,突破MA20 & 量比1.58
t_22,sell,2026-05-26T16:00:00.000Z,84.23,47.081354018671135,-47.081354018671135,-1.1732957878681216,跌破MA20
t_23,buy,2026-05-27T12:00:00.000Z,83.93,47.58621781727478,,,突破MA20 & 量比2.62
t_24,sell,2026-05-27T17:00:00.000Z,83.42,47.58621781727478,-24.26897108681038,-0.6076492315024485,跌破MA20
t_25,buy,2026-05-29T15:00:00.000Z,82.57,48.252436392989566,,,突破MA20 & 量比3.96
t_26,sell,2026-05-31T14:00:00.000Z,81.97,48.252436392989566,-28.951461835793467,-0.7266561705219745,跌破MA20
t_27,buy,2026-05-31T22:00:00.000Z,82.52,48.141336503088105,,,突破MA20 & 量比1.85
t_28,sell,2026-06-01T01:00:00.000Z,81.75,48.141336503088105,-37.06882910737765,-0.9331071255453176,跌破MA20
t_29,buy,2026-06-07T12:00:00.000Z,64.33,61.52332592246043,,,突破MA20 & 量比1.92
t_30,sell,2026-06-07T19:00:00.000Z,63.95,61.52332592246043,-23.37886385053468,-0.5907041815638046,跌破MA20
t_31,buy,2026-06-07T22:00:00.000Z,65.83,59.979401656564875,,,突破MA20 & 量比3.22
t_32,sell,2026-06-09T00:00:00.000Z,65.43,59.979401656564875,-23.99176066262544,-0.6076257025672056,跌破MA20
t_33,buy,2026-06-10T13:00:00.000Z,65.08,60.52316082954234,,,突破MA20 & 量比2.02
t_34,sell,2026-06-10T17:00:00.000Z,64.05,60.52316082954234,-62.33885565442868,-1.5826674861708683,跌破MA20
t_35,buy,2026-06-11T12:00:00.000Z,65.27,59.96494200283199,,,突破MA20 & 量比1.76
t_36,sell,2026-06-12T14:00:00.000Z,67.94,59.96494200283199,160.10639514756153,4.090700168530721,止盈
t_37,buy,2026-06-12T14:00:00.000Z,67.94,58.55099091233247,,,突破MA20 & 量比2.73
t_38,sell,2026-06-12T21:00:00.000Z,66.58,58.55099091233247,-79.62934764077212,-2.001766264350897,止损
t_39,buy,2026-06-13T16:00:00.000Z,68.1,57.94570607235771,,,突破MA20 & 量比1.92
t_40,sell,2026-06-14T10:00:00.000Z,68.15,57.94570607235771,2.897285303618544,0.07342143906022228,跌破MA20
t_41,buy,2026-06-14T21:00:00.000Z,70.16,56.26085372931879,,,突破MA20 & 量比5.35
t_42,sell,2026-06-15T13:00:00.000Z,73.63,56.26085372931879,195.22516244073614,4.945838084378562,止盈
t_43,buy,2026-06-15T13:00:00.000Z,73.63,54.66999270168819,,,突破MA20 & 量比2.52
t_44,sell,2026-06-16T02:00:00.000Z,73.02,54.66999270168819,-33.34869554802977,-0.8284666576123855,跌破MA20
t_45,buy,2026-06-17T15:00:00.000Z,73.81,54.355942072972354,,,突破MA20 & 量比2.55
t_46,sell,2026-06-17T19:00:00.000Z,71.66,54.355942072972354,-116.86527545689087,-2.9128844330036654,止损
